id,fromUser,fromUserId,desired_username,LanguageCode,source,text,createdAt,req_username
130285,hanzlauren420,69210137,hannah greenberg,english,&lta href=&quothttp//instagr.am&quot&gtInstagram&lt/a&gt,#Sandy fucking blows @ Belmar http//t.co/SXf2Bmbd,19-Oct-12,han
130286,zetatonio,169174842,Augusto Blanco,es,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Me declaro damnificado del fenomeno metereologico Sandy ... Entre Lunes y Martes me golpearon dos grandes tormentas.   (,04-Oct-12,aug
130290,CJacquemont,399567337,Colombine Jacquemont,french,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,@louis2caunes sur instagram nous livre de bien belles photos de #Sandy  avant pendant et aprÃ­â¬ÅÃs surtout..,17-Oct-12,col
130291,katmatcher,499951754,Matthew Katcher,english,&lta href=&quothttp//www.apple.com&quot&gtCamera on iOS&lt/a&gt,Hey #sandy girl...I don''t think this is what Springsteen intended.  Overall not too bad here but still no power @ apt http//t.co/U2laJYkO,01-Oct-12,mat
130293,whiskeyslayer,61314754,Casey ,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,My god #sandy has destroyed the #jerseyshore.. It''s the end of an era.. Did #MTV predict this?,19-Oct-12,cas
130294,James__Garrett,210631097,James Garrett,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,The pictures and the news from hurricane Sandy are horrific.,10-Oct-12,jam
130295,brookeschupbach,44496102,Brooke Schupbach,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Hurricane Katrina. Are you joking? Has this guy even watched 1 minute of the news lately? SANDY you idiot!,29-Oct-12,bro
130296,apwxgarrettmd,260482001,Appalachian Weather,english,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,...ACCUMULATING SNOWFALL AND HIGH WIND EXPECTED TO CONTINUE FOR THE HIGHER ELEVATIONS... .POST-TROPICAL STORM SANDY... http//t.co/fSYpTMC5,29-Oct-12,app
130299,Reyrey26,76821415,Rey,english,&lta href=&quothttp//twitter.com/download/android&quot&gtTwitter for Android&lt/a&gt,Lol howard stern said hurricane katrina instead of sandy....lol,12-Oct-12,rey
130300,noah_bond,148028322,Noah Bond,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Diane Sawyer just reported Sandy will whip 22 foot waves up on the Great Lakes.  The highest ever recorded.,14-Oct-12,noa
